dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1743-11-01,8.758,1.886,Aberdeen,United Kingdom,57.05N,1.48W
1743-12-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1744-01-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1744-02-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1744-03-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1744-04-01,6.07,2.934,Aberdeen,United Kingdom,57.05N,1.48W
1744-05-01,7.751,1.494,Aberdeen,United Kingdom,57.05N,1.48W
1744-06-01,10.62,1.574,Aberdeen,United Kingdom,57.05N,1.48W
1744-07-01,12.35,1.591,Aberdeen,United Kingdom,57.05N,1.48W
1744-08-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1744-09-01,11.224,1.606,Aberdeen,United Kingdom,57.05N,1.48W
1744-10-01,8.945,1.731,Aberdeen,United Kingdom,57.05N,1.48W
1744-11-01,7.836,1.585,Aberdeen,United Kingdom,57.05N,1.48W
1744-12-01,5.263,1.871,Aberdeen,United Kingdom,57.05N,1.48W
1745-01-01,4.136,1.825,Aberdeen,United Kingdom,57.05N,1.48W
1745-02-01,2.436,1.677,Aberdeen,United Kingdom,57.05N,1.48W
1745-03-01,3.24,1.456,Aberdeen,United Kingdom,57.05N,1.48W
1745-04-01,4.819,1.429,Aberdeen,United Kingdom,57.05N,1.48W
1745-05-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1745-06-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1745-07-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1745-08-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1745-09-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1745-10-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1745-11-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1745-12-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1746-01-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1746-02-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1746-03-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1746-04-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1746-05-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1746-06-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1746-07-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1746-08-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1746-09-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1746-10-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1746-11-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1746-12-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1747-01-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1747-02-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1747-03-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1747-04-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1747-05-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1747-06-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1747-07-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1747-08-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1747-09-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1747-10-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1747-11-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1747-12-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1748-01-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1748-02-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1748-03-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1748-04-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1748-05-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1748-06-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1748-07-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1748-08-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1748-09-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1748-10-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1748-11-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1748-12-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1749-01-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1749-02-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1749-03-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1749-04-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1749-05-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1749-06-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1749-07-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1749-08-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1749-09-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1749-10-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1749-11-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1749-12-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1750-01-01,5.441,1.463,Aberdeen,United Kingdom,57.05N,1.48W
1750-02-01,7.31,2.474,Aberdeen,United Kingdom,57.05N,1.48W
1750-03-01,7.335,3.024,Aberdeen,United Kingdom,57.05N,1.48W
1750-04-01,6.604,1.308,Aberdeen,United Kingdom,57.05N,1.48W
1750-05-01,8.328,1.509,Aberdeen,United Kingdom,57.05N,1.48W
1750-06-01,10.803,1.393,Aberdeen,United Kingdom,57.05N,1.48W
1750-07-01,14.367,1.4,Aberdeen,United Kingdom,57.05N,1.48W
1750-08-01,13.802,1.158,Aberdeen,United Kingdom,57.05N,1.48W
1750-09-01,12.225,1.302,Aberdeen,United Kingdom,57.05N,1.48W
1750-10-01,7,1.414,Aberdeen,United Kingdom,57.05N,1.48W
1750-11-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1750-12-01,4.576,1.819,Aberdeen,United Kingdom,57.05N,1.48W
1751-01-01,4.826,1.795,Aberdeen,United Kingdom,57.05N,1.48W
